,Timestamp,MatCode,Base,Length (m),Print and Dye,Stitch and Applique,Tailoring,Added expenses,Production cost,Added_to_catalogue,MatMaster
18,02/14/2023 13:02:54,SC-1-P2,195.9384942,2.0,80.0,250.0,0,25.0,550.9384942,1.0,
19,02/14/2023 13:03:43,SC-1-P3,156.7507953,1.6,80.0,250.0,0,25.0,511.7507953,1.0,
20,12/08/2022 20:23:18,CSC-1-P1,269.5,2.75,180.0,20.0,0,25.0,494.5,1.0,
21,01/21/2023 00:43:46,CSC-2-P1,316.25,2.75,,350.0,0,0.0,666.25,,CSC-1-P1
22,01/21/2023 00:47:01,CSC-2-P2,316.25,2.75,,250.0,0,0.0,566.25,,CSC-3-P1
23,12/08/2022 20:24:05,CSC-3-P1,316.25,2.75,180.0,20.0,0,25.0,541.25,,
24,12/04/2022 19:07:20,CS-4-P1,1015.384615,5.5,420.0,,0,50.0,1485.384615,1.0,
25,01/20/2023 18:48:51,CS-4-P2,184.6153846,1.0,100.0,,0,83.33333333,367.9487179,1.0,CS-4-P1
26,01/21/2023 00:39:56,CSC-1-P2,122.5,1.25,100.0,,0,0.0,222.5,1.0,CSC-1-P1
27,25/07/2023 17:56:23,R-2-P1,852.5,5.5,180.0,100.0,0,0.0,1132.5,1.0,
28,02/10/2023 21:41:07,SC-1-P4,195.9384942,2.0,80.0,100.0,0,0.0,375.9384942,1.0,SC-2-P2
29,,SC-1-P5,48.98462354,0.5,,,0,,,,
30,,CaC-1-P2,176.0,2.0,,,0,,,,
31,,CaC-1-P3,176.0,2.0,,,0,,,,
32,02/10/2023 21:41:56,SC-2-P2,156.6071429,2.0,80.0,150.0,0,0.0,386.6071429,1.0,
33,12/08/2022 20:12:17,T-1-P1,0.0,5.5,250.0,,0,25.0,275.0,1.0,
34,12/08/2022 20:33:26,MS-1-P1,250.0,2.0,80.0,,0,25.0,355.0,1.0,
35,12/08/2022 22:20:12,C-1-P1,300.0,2.5,192.5,,0,25.0,517.5,,
36,12/08/2022 22:21:14,C-1-P2,300.0,2.5,192.5,,0,25.0,517.5,,C-1-P1
37,,C-1-P3,300.0,2.5,,,0,,,,
38,,C-1-P4,420.0,3.5,,,0,,,,
39,12/08/2022 22:29:32,M-2-P1,125.0,2.3,50.0,,0,25.0,200.0,,C-1-P1
40,12/08/2022 22:46:16,PC-1-P1,583.8461541,5.5,427.5,,0,25.0,1036.346154,1.0,
41,12/08/2022 23:22:49,CC-5-P1,360.0,5.5,427.5,,0,25.0,812.5,,
42,12/17/2022 20:36:12,MS-1-P2,275.0,2.2,100.0,,0,50.22222222,425.2222222,,
43,12/17/2022 20:45:44,M-1-P1,275.0,5.5,200.0,,0,50.22222222,525.2222222,,
44,12/23/2022 10:14:16,PC-2-P1,423.0769231,5.5,250.0,,0,25.0,698.0769231,1.0,
45,12/23/2022 10:15:51,PC-2-P2,76.92307692,1.0,100.0,,0,25.0,201.9230769,1.0,PC-2-P1
46,12/23/2022 10:22:59,PS-1-P1,2295.468067,5.5,300.0,,0,25.0,2620.468067,1.0,
47,12/23/2022 10:25:06,PS-1-P2,354.7541558,0.85,100.0,,0,25.0,479.7541558,1.0,PS-1-P1
48,02/14/2023 11:57:08,CaC-2-P1,513.0506667,5.7,600.0,500.0,0,24.0,1637.050667,1.0,
49,02/13/2023 01:06:04,CaC-2-P2,252.0248889,2.8,180.0,,0,24.0,456.0248889,1.0,
50,02/13/2023 01:06:04,CaC-2-P3,252.0248889,2.8,180.0,,0,24.0,456.0248889,,
51,02/14/2023 12:02:52,CaC-2-P4,225.0222222,2.5,300.0,250.0,0,24.0,799.0222222,1.0,
52,02/13/2023 01:06:04,CaC-2-P5,225.0222222,2.5,100.0,,0,24.0,349.0222222,,CaC-2-P4
53,02/14/2023 12:19:40,MS-2-P1,206.358876,1.85,80.0,250.0,0,24.0,560.358876,1.0,
54,02/14/2023 12:33:59,FC-1-P1,275.2222223,2.5,180.0,250.0,0,24.0,729.2222223,1.0,
55,12/08/2023 01:20:09,MS-3-P1,219.1322752,2.0,50.0,250.0,0,0.0,519.1322752,1.0,
56,02/13/2023 01:06:04,MS-3-P2,109.5661376,1.0,30.0,,0,24.0,163.5661376,,
57,,R-3-P1,246.1538461,1.6,,,0,,,,
58,,MC-9-P1,331.5155624,2.75,,,0,,,,
59,02/13/2023 01:06:04,HT-2-P1,604.7966752,2.18,100.0,,0,24.0,728.7966752,,
60,02/13/2023 01:06:04,MC-5-P1,652.5299737,5.5,200.0,,0,24.0,876.5299737,,
61,05/03/2023 18:15:15,CA-1-P2,237.4,1.0,,250.0,0,0.0,487.4,1.0,KC-2-P1
62,02/13/2023 01:06:04,PG-1-P1,382.5,1.5,80.0,,0,24.0,486.5,,
63,25/07/2023 20:37:27,FS-1-P1,852.5,5.5,,299.5,0,0.0,1152.0,1.0,
64,01/21/2023 00:02:11,CC-6-P1,443.3333334,5.5,250.0,,0,0.0,693.3333334,1.0,
65,01/21/2023 00:04:07,FPC-1-P1,383.3333333,1.0,,0.0,0,0.0,383.3333333,1.0,
66,01/21/2023 00:51:02,CSC-2-P3,115.0,1.0,,100.0,0,0.0,215.0,,CSC-3-P1
67,01/21/2023 20:00:10,KS-1-P1,467.5,5.5,300.0,,0,0.0,767.5,1.0,
68,01/21/2023 20:05:57,KS-2-P1,467.5,5.5,300.0,,0,0.0,767.5,1.0,
69,,SC-3-P1,269.5,2.75,,,0,,,,
70,01/30/2023 23:59:50,CS-5-P1,551.0882355,5.5,180.0,,0,30.0,761.0882355,1.0,
71,01/30/2023 00:18:08,CSC-5-P1,551.0882355,5.5,180.0,,0,30.0,761.0882355,1.0,
72,01/30/2023 00:22:54,CSC-6-P1,414.0882353,5.5,180.0,,0,30.0,624.0882353,1.0,
73,01/30/2023 00:28:32,MC-11-P1,168.5882353,1.0,,150.0,0,30.0,348.5882353,,CS-5-P1
74,02/05/2023 22:30:58,AS-2-P1,220.9642857,1.5,,500.0,0,0.0,720.9642857,1.0,
75,26/07/2023 00:09:47,MC-7-P1,413.5882352,2.75,80.0,507.0,0,24.0,1024.588235,1.0,
76,02/13/2023 01:06:04,CaC-2-P6,270.0266667,3.0,200.0,,0,24.0,494.0266667,1.0,
77,02/13/2023 01:06:04,KoC-1-P1,541.5,5.7,180.0,,0,24.0,745.5,,
78,02/22/2023 12:38:12,PrC-8-P1,200.0,2.0,,250.0,0,0.0,450.0,1.0,
79,03/07/2023 19:52:18,AM-2-P1,584.3342857,5.5,650.0,,0,0.0,1234.334286,1.0,
80,03/07/2023 21:56:36,ArS-7-P1,95.71428571,1.0,,250.0,0,0.0,345.7142857,1.0,
81,03/07/2023 21:59:22,FR-2-P1,135.0,1.0,,230.0,0,0.0,365.0,1.0,
82,03/11/2023 18:07:57,PrC-7-P1,282.6666666,2.0,,250.0,0,0.0,532.6666666,1.0,
83,05/23/2023 20:27:54,AM-3-P1,561.1250002,5.5,650.0,,0,0.0,1211.125,1.0,
84,04/12/2023 09:15:55,SC-15-P1,196.6666667,2.0,150.0,,0,0.0,346.6666667,1.0,
85,04/22/2023 21:38:25,H-4-P1,180.5226,1.0,0.0,,0,44.4208,224.9434,,O-2-P1
86,,O-2-P1,769.6807998,5.5,,,0,,,,
87,,O-3-P1,769.6807998,5.5,,,0,,,,
88,04/22/2023 21:40:22,H-4-P2,180.5226,1.0,0.0,,0,44.4208,224.9434,,O-3-P1
89,,MoC-4-P1,726.37444,5.5,,,0,,,,
90,,MoC-3-P1,733.37792,5.5,,,0,,,,
91,25/07/2023 17:09:41,BT-1-P1,450.0,5.5,180.0,,0,0.0,630.0,1.0,
92,04/25/2023 18:34:19,BT-1-P2,450.0,5.5,180.0,,0,23.5,653.5,1.0,
93,04/25/2023 18:38:54,BT-1-P3,450.0,5.5,180.0,,0,23.5,653.5,1.0,
94,04/25/2023 18:45:24,CSC-7-P1,414.0882353,5.5,180.0,,0,23.5,617.5882353,,
95,04/25/2023 18:49:05,JM-1-P1,315.0,5.5,85.0,,0,23.5,423.5,,
96,25/07/2023 22:05:24,CSC-10-P1,330.0,4.0,160.0,585.0,0,0.0,1075.0,1.0,
97,29/07/2023 10:58:26,SC-17-P1,245.8333333,2.5,80.0,150.0,0,0.0,475.8333333,1.0,
98,05/02/2023 01:35:48,KC-4-P1,188.6180556,1.57,51.025,250.0,0,23.5,513.1430556,1.0,
99,04/25/2023 19:12:09,KC-4-P2,188.6180556,1.57,51.025,,0,23.5,263.1430556,,
100,04/25/2023 19:12:33,KC-4-P3,377.2361111,3.14,102.05,,0,23.5,502.7861111,1.0,
101,09/08/2023 02:08:52,KC-4-P4,64.87,0.54,17.55,100.0,0,0.0,182.42,1.0,
102,04/25/2023 19:14:59,KC-4-P5,145.68,1.2126,39.4,,0,23.5,208.58,,
103,04/26/2023 21:04:41,PrC-31-P1,296.1111112,2.0,,200.0,0,0.0,496.1111112,1.0,
104,04/28/2023 00:44:51,R-4-P1,454.8382352,2.75,200.0,20.0,0,0.0,674.8382352,1.0,
105,04/28/2023 00:50:39,R-6-P1,454.8382352,2.75,,130.0,0,0.0,584.8382352,,R-4-P1
106,04/28/2023 00:52:50,R-5-P1,165.3957219,1.0,100.0,250.0,0,0.0,515.3957219,1.0,R-4-P1
107,04/29/2023 01:54:07,SC-11-P1,767.2142858,5.5,180.0,,0,0.0,947.2142858,1.0,
108,05/04/2023 16:55:09,C-4-P1,480.0,5.5,400.0,,0,0.0,880.0,1.0,
109,24/09/2023 10:48:04,MoC-9-P1,687.5,5.5,,600.0,0,0.0,1287.5,1.0,
110,,MoC-9-P2,687.5,5.5,,,0,,,,
111,05/07/2023 01:09:23,AM-5-P1,484.0,5.5,650.0,,0,0.0,1134.0,1.0,
112,12/07/2023 11:36:10,AM-5-P2,484.0,5.5,650.0,,0,0.0,1134.0,1.0,
113,24/07/2023 10:57:10,AM-5-P3,484.0,5.5,650.0,,0,0.0,1134.0,1.0,
114,,AM-5-P4,484.0,5.5,,,0,,,,
115,,AM-5-P5,484.0,5.5,,,0,,,,
116,24/07/2023 16:00:45,PrC-33-P1,238.4812838,1.5,,150.0,0,0.0,388.4812838,1.0,
117,12/08/2023 03:29:31,MoC-7-P1,725.9107405,5.5,200.0,652.0,0,0.0,1577.910741,1.0,
118,13/10/2023 00:28:59,CS-10-P1,443.8613913,5.5,300.0,,0,0.0,743.8613913,1.0,
119,,CS-10-P2,443.8613913,5.5,,,0,,,,
120,,CS-10-P3,242.1062135,3.0,,,0,,,,
121,06/18/2023 17:01:44,PrC-16-P1,381.6111112,2.0,,250.0,0,0.0,631.6111112,1.0,
122,06/18/2023 17:25:48,PrC-17-P1,159.4444444,1.0,,250.0,0,0.0,409.4444444,1.0,
123,06/18/2023 17:34:54,PrC-32-P1,190.8055556,1.0,,250.0,0,0.0,440.8055556,1.0,
124,06/18/2023 17:44:34,PrC-14-P1,284.5416666,1.5,,250.0,0,0.0,534.5416666,1.0,
125,06/18/2023 18:05:56,PrC-11-P1,284.5416666,1.5,,250.0,0,0.0,534.5416666,1.0,
126,06/18/2023 18:49:04,SS-2-P1,854.3008001,5.5,250.0,,0,0.0,1104.3008,1.0,
127,25/07/2023 23:55:56,MoC-2-P1,862.49852,6.5,220.0,170.0,0,0.0,1252.49852,1.0,
128,06/18/2023 20:22:23,CC-4-P1,304.6153846,5.5,177.0,,0,0.0,481.6153846,1.0,
129,,PrC-10-P1,76.80555555,0.5,,,0,,,,CC-4-P1
130,06/18/2023 20:27:43,PrC-9-P1,153.6111111,1.0,,200.0,0,0.0,353.6111111,1.0,
131,06/21/2023 01:33:31,MoC-2-P2,132.69208,1.0,100.0,150.0,0,0.0,382.69208,1.0,
132,04/07/2023 13:52:00,MoC-5-P1,508.5714815,5.5,200.0,727.3,0,0.0,1435.871481,1.0,
133,,CA-3-P1,177.2857407,1.0,,,0,,,,MoC-5-P1
134,04/07/2023 13:53:20,CA-3-P2,177.2857407,1.0,,300.0,0,0.0,477.2857407,1.0,MoC-5-P1
135,04/07/2023 20:06:17,R-7-P1,844.6235611,5.5,180.0,150.0,0,0.0,1174.623561,1.0,
136,04/07/2023 20:05:35,R-7-P2,153.5679202,1.0,20.0,300.0,0,0.0,473.5679202,1.0,R-7-P1
137,05/07/2023 00:35:33,ArS-12-P1,110.0,1.0,,270.0,0,0.0,380.0,1.0,
138,05/07/2023 01:22:06,ArS-18-P1,68.2142963,1.0,,270.0,0,0.0,338.2142963,1.0,
139,05/07/2023 23:45:49,MoC-12-P1,666.9047622,5.5,,200.0,0,0.0,866.9047622,1.0,
140,05/07/2023 23:46:33,MoC-10-P1,190.1547619,1.0,,200.0,0,0.0,390.1547619,1.0,
141,12/07/2023 11:38:15,ArS-18-P2,68.2142963,1.0,,270.0,0,0.0,338.2142963,1.0,
142,13/07/2023 20:07:37,AS-5-P1,286.6666666,2.0,,300.0,0,0.0,586.6666666,1.0,
143,13/07/2023 20:12:04,MoS-6-P1,321.1626666,2.0,,300.0,0,0.0,621.1626666,1.0,
144,13/07/2023 23:10:12,ArS-15-P1,67.40740741,1.0,,270.0,0,0.0,337.4074074,1.0,
145,24/07/2023 11:01:42,ArS-18-P3,68.2142963,1.0,,270.0,0,0.0,338.2142963,1.0,
146,24/07/2023 11:37:55,PrC-34-P1,275.4353024,1.7,,150.0,0,0.0,425.4353024,1.0,
147,24/07/2023 11:55:23,PrC-17-P2,239.1666666,1.5,,250.0,0,0.0,489.1666666,1.0,
148,24/07/2023 12:17:47,PrC-37-P1,236.4625001,1.5,,341.6,0,0.0,578.0625001,1.0,
149,,H-4-P3,91.57673335,0.5,,,0,,,,PrC-37-P1
150,24/07/2023 12:30:27,PrC-37-P2,157.6416667,1.0,,241.6,0,0.0,399.2416667,1.0,
151,,H-4-P4,91.57673335,0.5,,,0,,,,PrC-37-P2
152,24/07/2023 12:59:45,KC-6-P1,186.4539,1.5,60.0,250.0,0,0.0,496.4539,1.0,
153,24/07/2023 13:11:54,KC-6-P2,248.6052,2.0,60.0,250.0,0,0.0,558.6052,1.0,
154,24/07/2023 13:17:58,KC-6-P3,217.52955,1.75,60.0,250.0,0,0.0,527.52955,1.0,
155,24/07/2023 13:25:44,KC-6-P4,124.3026,1.0,60.0,150.0,0,0.0,334.3026,1.0,
156,24/07/2023 14:16:01,KC-5-P1,126.8256,1.0,,150.0,0,0.0,276.8256,1.0,
157,24/07/2023 14:27:11,KC-5-P2,190.2384,1.5,,250.0,0,0.0,440.2384,1.0,
158,24/07/2023 14:33:23,KC-5-P3,190.2384,1.5,,250.0,0,0.0,440.2384,1.0,
159,24/07/2023 14:48:43,CaC-3-P1,102.8069333,1.0,,230.0,0,0.0,332.8069333,1.0,
160,24/07/2023 14:55:48,MSl-2-P1,189.547619,1.9,,250.0,0,0.0,439.547619,1.0,
161,24/07/2023 15:18:10,RC-2-P1,122.9333333,1.2,,379.0,0,0.0,501.9333333,1.0,
162,,PrC-36-P1,78.82083335,0.5,,,0,,,,RC-2-P1
163,24/07/2023 15:27:49,MSl-1-P1,249.4047619,2.5,,289.5,0,0.0,538.9047619,1.0,
164,,PrC-36-P2,39.41041668,0.25,,,0,,,,MSl-1-P1
165,24/07/2023 15:52:44,KC-6-P5,217.52955,1.75,,300.0,0,0.0,517.52955,1.0,
166,24/07/2023 16:09:11,PrC-33-P2,262.3294121,1.65,,250.0,0,0.0,512.3294121,1.0,
167,24/07/2023 17:05:49,PrC-18-P1,193.452381,1.5,,250.0,0,0.0,443.452381,1.0,
168,24/07/2023 16:46:43,SC-22-P1,240.6189577,1.95,,234.5,0,0.0,475.1189577,1.0,
169,,PrC-33-P3,79.49376125,0.5,,,0,,,,SC-22-P1
170,24/07/2023 16:55:51,SC-22-P2,240.6189577,1.95,,273.85,0,0.0,514.4689577,1.0,
171,,PrC-33-P4,23.84812838,0.15,,,0,,,,SC-22-P2
172,24/07/2023 17:11:36,AS-7-P1,263.6666666,2.0,,250.0,0,0.0,513.6666666,1.0,
173,06/08/2023 18:30:21,AS-7-P2,131.8333333,1.0,,180.0,0,0.4761904762,312.3095238,1.0,
174,24/07/2023 17:23:49,PrC-41-P1,363.452381,2.5,,125.0,0,0.0,488.452381,1.0,
175,24/07/2023 17:25:49,PrC-42-P1,276.4047618,1.95,,125.0,0,0.0,401.4047618,1.0,
176,24/07/2023 18:43:57,PrC-2-P1,247.6515152,1.5,,458.0,0,0.0,705.6515152,1.0,
177,,PrC-3-P1,258.0833333,1.45,,,0,,,,PrC-2-P1
178,15/08/2023 18:11:08,SC-22-P3,117.2246204,0.95,,150.0,0,0.0,267.2246204,1.0,
179,24/07/2023 21:21:59,AS-8-P1,294.5416667,2.25,,289.5,0,0.0,584.0416667,1.0,
180,,PrC-36-P3,39.41041668,0.25,,,0,,,,AS-8-P1
181,24/07/2023 21:42:07,Ti-6-P1,247.1547619,1.0,,320.0,0,0.0,567.1547619,1.0,
182,24/07/2023 22:05:04,Ti-4-P1,1063.2958,5.5,,350.0,0,0.0,1413.2958,1.0,
183,24/07/2023 23:01:44,Ba-1-P1,287.452381,1.0,,150.0,0,0.0,437.452381,1.0,
184,24/07/2023 23:21:09,AS-10-P1,266.047619,2.0,,250.0,0,0.0,516.047619,1.0,
185,24/07/2023 23:27:05,PrC-34-P2,348.3446471,2.15,,150.0,0,0.0,498.3446471,1.0,
186,24/07/2023 23:27:45,PrC-34-P3,324.0415322,2.0,,150.0,0,0.0,474.0415322,1.0,
187,24/07/2023 23:51:46,PrC-49-P1,356.0,2.0,,150.0,0,0.0,506.0,1.0,
188,24/07/2023 23:51:58,PrC-49-P2,356.0,2.0,,150.0,0,0.0,506.0,1.0,
189,24/07/2023 23:52:21,PrC-49-P3,267.0,1.5,,130.0,0,0.0,397.0,1.0,
190,25/07/2023 00:12:51,AS-6-P1,179.1666666,1.25,,361.25,0,0.0,540.4166666,1.0,
191,,PrC-19-P1,160.8796296,1.25,,,0,,,,AS-6-P1
192,25/07/2023 00:21:19,CaC-5-P1,204.88416,2.0,,150.0,0,0.0,354.88416,1.0,
193,25/07/2023 00:31:11,CaC-5-P2,204.88416,2.0,,225.5,0,0.0,430.38416,1.0,
194,,KK-1-P1,75.26787035,0.5,,,0,,,,CaC-5-P2
195,25/07/2023 13:07:08,H-4-P5,366.3069334,2.0,100.0,175.0,0,0.0,641.3069334,1.0,
196,25/07/2023 13:07:20,H-4-P6,457.8836668,2.5,100.0,175.0,0,0.0,732.8836668,1.0,H-4-P5
197,25/07/2023 13:12:42,O-1-P1,369.5173333,2.5,,200.0,0,0.0,569.5173333,1.0,H-4-P5
198,25/07/2023 15:24:07,PrC-50-P1,324.0,1.8,,150.0,0,0.0,474.0,1.0,
199,25/07/2023 15:25:21,PrC-50-P2,216.0,1.2,,150.0,0,0.0,366.0,1.0,PrC-50-P1
200,25/07/2023 15:50:09,CaC-6-P1,153.66312,1.5,90.0,150.0,0,0.0,393.66312,1.0,
201,25/07/2023 15:50:24,CaC-6-P2,256.1052,2.5,90.0,150.0,0,0.0,496.1052,1.0,CaC-6-P1
202,10/08/2023 21:07:56,CaC-6-P3,256.1052,2.5,,150.0,0,0.0,406.1052,1.0,
203,25/07/2023 15:42:02,PrC-51-P1,324.0,1.8,,150.0,0,0.0,474.0,1.0,
204,25/07/2023 16:01:05,PrC-51-P2,216.0,1.2,,150.0,0,0.0,366.0,1.0,PrC-51-P1
205,25/07/2023 16:39:55,MoC-3-P2,240.7377067,1.6,,350.0,0,0.0,590.7377067,1.0,
206,25/07/2023 17:08:31,BT-2-P1,550.0,5.5,152.0,,0,0.0,702.0,1.0,
207,25/07/2023 17:10:43,BT-2-P2,100.0,1.0,28.0,230.0,0,0.0,358.0,1.0,BT-2-P1
208,25/07/2023 17:21:58,BT-3-P1,650.0000001,5.5,200.0,,0,0.0,850.0000001,1.0,
209,25/07/2023 17:33:20,H-5-P1,841.0714813,5.5,200.0,,0,0.0,1041.071481,1.0,
210,,G-3-P1,95.01885715,0.5,,,0,,,,
211,25/07/2023 17:54:27,ArS-9-P1,365.7142857,5.5,,195.0,0,0.0,560.7142857,1.0,
212,25/07/2023 17:58:12,ArS-4-P1,60.0,1.0,,280.0,0,0.0,340.0,1.0,
213,25/07/2023 19:10:23,KS-3-P1,339.623797,5.5,0.0,,0,0.0,339.623797,1.0,
214,25/07/2023 19:11:01,KS-3-P2,52.48731409,0.85,,250.0,0,0.0,302.4873141,1.0,KS-3-P1
215,25/07/2023 19:25:06,ArS-8-P1,325.7142857,5.8,,171.5,0,0.0,497.2142857,1.0,
216,25/07/2023 19:33:05,G-2-P1,71.26685715,0.5,,0.0,0,0.0,71.26685715,,
217,25/07/2023 19:35:05,G-2-P2,142.5337143,1.0,,250.0,0,0.0,392.5337143,1.0,
218,25/07/2023 19:36:35,R-1-P1,852.5,5.5,,299.5,0,0.0,1152.0,1.0,
219,,B-1-P1,201.1111111,9.5,,,0,,,,R-1-P1
220,25/07/2023 19:42:35,Ti-1-P1,225.6111111,1.3,,300.0,0,0.0,525.6111111,1.0,
221,25/07/2023 19:50:02,SS-1-P1,572.5000001,5.5,180.0,,0,0.0,752.5000001,1.0,
222,25/07/2023 20:15:09,SC-7-P1,305.2142858,2.75,200.0,325.25,0,0.0,830.4642858,1.0,
223,,SC-8-P1,303.9611528,2.75,,,0,,,,SC-7-P1
224,25/07/2023 20:14:04,PrC-52-P1,200.0,1.0,,211.1,0,0.0,411.1,1.0,
225,,SC-8-P2,11.05313283,0.1,,,0,,,,PrC-52-P1
226,25/07/2023 20:25:58,Ti-2-P1,196.3611111,1.0,,300.0,0,0.0,496.3611111,1.0,
227,25/07/2023 20:32:54,CSC-4-P1,551.0882355,5.5,200.0,,0,0.0,751.0882355,1.0,
228,,B-2-P1,201.1111111,9.5,,,0,,,,FS-1-P1
229,25/07/2023 20:39:00,ArS-17-P1,104.4208,1.0,,320.0,0,0.0,424.4208,1.0,
230,25/07/2023 21:52:42,MoS-1-P1,888.2142858,5.5,,20.0,0,0.0,908.2142858,,
231,25/07/2023 22:07:24,CSC-9-P1,90.0,1.0,,250.0,0,0.0,340.0,1.0,
232,25/07/2023 22:03:32,CSC-9-P2,135.0,1.5,,400.0,0,0.0,535.0,,
233,25/07/2023 22:17:21,MoS-2-P1,888.2142858,5.5,,20.0,0,0.0,908.2142858,1.0,
234,25/07/2023 22:33:38,MoS-3-P1,182.9642857,1.0,,200.0,0,0.0,382.9642857,1.0,
235,25/07/2023 22:34:25,MoS-4-P1,182.9642857,1.0,,200.0,0,0.0,382.9642857,1.0,
236,,MC-6-P1,405.9647059,2.75,,,0,,,,MC-7-P1
237,26/07/2023 00:12:48,MC-6-P2,147.6235294,1.0,,250.0,0,,397.6235294,1.0,MC-7-P1
238,26/07/2023 00:28:59,Ti-3-P1,1063.2958,5.5,,300.0,0,,1363.2958,1.0,
239,26/07/2023 00:31:21,Ti-5-P1,247.1547619,1.0,,350.0,0,,597.1547619,1.0,
240,,PrC-53-P1,66.975,0.3,,,0,,,,
241,09/08/2023 21:55:19,CaC-11-P1,117.6,1.2,,361.5,0,0.0,479.1,1.0,
242,06/08/2023 19:34:01,PrC-56-P1,199.5,1.5,,250.0,0,0.4761904762,449.9761905,1.0,
243,06/08/2023 22:23:27,CaC-10-P1,147.0,1.5,,265.0,0,0.4761904762,412.4761905,1.0,
244,,PrC-53-P2,44.65,0.2,,,0,,,,
245,,CaC-9-P1,49.0,0.5,,,0,,,,
246,09/08/2023 21:40:11,PrC-55-P1,159.6,1.2,,299.0,0,0.0,458.6,1.0,
247,06/08/2023 18:14:52,PrC-57-P1,165.0,1.5,,250.0,0,0.4761904762,415.4761905,1.0,
248,,ArS-11-P1,51.66666665,0.5,,,0,,,,
249,29/07/2023 11:11:36,G-1-P1,163.9642857,1.0,,230.0,0,0.0,393.9642857,1.0,
250,29/07/2023 11:10:08,ArS-10-P1,365.7142857,5.5,,151.5,0,0.0,517.2142857,1.0,
251,29/07/2023 11:37:57,PrC-36-P4,236.4625001,1.5,,200.0,0,0.0,436.4625001,1.0,
252,29/07/2023 11:59:13,PrC-35-P1,411.6414814,2.0,,250.0,0,0.0,661.6414814,1.0,
253,29/07/2023 12:01:36,PrC-58-P1,360.0,2.0,,150.0,0,0.0,510.0,1.0,
254,29/07/2023 12:19:11,PrC-2-P2,297.1818182,1.8,,200.0,0,0.0,497.1818182,1.0,
255,29/07/2023 12:26:27,SC-14-P1,767.2142858,5.5,180.0,,0,0.0,947.2142858,1.0,
256,29/07/2023 12:33:17,CSC-12-P1,429.4208,5.5,180.0,,0,0.0,609.4208,1.0,
257,29/07/2023 12:39:56,PrC-59-P1,270.0,1.8,,200.0,0,0.0,470.0,1.0,
258,10/08/2023 00:22:46,PrC-12-P1,284.5416666,1.5,,250.0,0,0.0,534.5416666,1.0,
259,10/08/2023 00:37:38,CaC-9-P2,93.1,0.95,,356.4,0,0.0,449.5,1.0,
260,10/08/2023 01:13:01,PrC-6-P1,190.625,1.5,,250.0,0,0.0,440.625,1.0,
261,09/08/2023 22:04:13,PrC-6-P2,228.7499999,1.8,,150.0,0,0.0,378.7499999,1.0,
262,09/08/2023 00:20:57,PrC-46-P1,148.308768,1.1,,200.0,0,0.0,348.308768,1.0,
263,09/08/2023 23:52:35,StC-1-P1,255.2272728,1.5,,200.0,0,0.0,455.2272728,1.0,
264,10/08/2023 00:00:43,PrC-45-P1,219.5197044,1.5,,200.0,0,0.0,419.5197044,1.0,
265,11/08/2023 14:35:52,KK-2-P1,143.6904938,1.0,,170.0,0,0.0,313.6904938,1.0,
266,15/08/2023 18:11:33,SC-22-P4,678.6688552,5.5,,0.0,0,0.0,678.6688552,1.0,
267,10/08/2023 00:51:01,PrC-41-P2,123.5738095,0.85,,322.5,0,0.0,446.0738095,1.0,
