TimeStamp,MatCode,Model No.,Category,Name,Description,Quantity,Price,Image,MasterModel,Remarks,Sold Price
01/21/2023 00:09:05,CC-6-P1,OW0-CC-1,outfit > women > saree,Grey-fish-saree,"The grey cotton saree is incredibly comfortable to wear. It features a unique layered-tide block print, with beautiful fishes swimming in an ocean of black and maroon. An eye-catching statement piece for any wardrobe.",0,1193.333333,,,,
01/21/2023 00:09:53,FPC-1-P1,OW1-FPC-1,outfit > women > designer-blouse,Black-fish-blouse,,0,806.3333333,,,,
01/21/2023 01:06:09,ArS-1-P1,OW1-ArS-1,outfit > women > designer-blouse,,,1,750,    ,,,
01/21/2023 01:06:09,ArS-2-P1,OW1-ArS-2,outfit > women > designer-blouse,,,1,949.25,    ,,,
01/21/2023 01:41:17,CSC-1-P1,OW0-CSC-1,outfit > women > saree,,,1,2260,,,,
01/21/2023 01:45:18,CSC-1-P2,OW1-CSC-1,outfit > women > designer-blouse,,,1,715,,,,
01/21/2023 01:41:17,CSC-3-P1,OW0-CSC-2,outfit > women > saree,,,1,2260,,,,
01/21/2023 01:45:18,CSC-2-P3,OW1-CSC-2,outfit > women > designer-blouse,,,1,715,,,,
01/21/2023 19:51:02,KC-2-P1,OW0-KC-1,outfit > women > saree,saree,,1,2700,,,,
01/21/2023 20:02:22,KS-1-P1,OW0-KS-1,outfit > women > saree,,,1,1650,,,,
01/21/2023 20:02:22,KS-2-P1,OW0-KS-2,outfit > women > saree,,,1,1650,,,,
01/20/2023 19:00:04,CS-5-P1,OW0-CS-4,outfit > women > saree,,,1,1561,,,,
01/20/2023 19:00:04,MC-11-P1,OW1-MC-2,outfit > women > designer-blouse,,,1,939,,,,
01/21/2023 01:41:17,CSC-5-P1,OW0-CSC-3,outfit > women > saree,,,1,1600,,,,
01/21/2023 01:06:09,ArS-5-P1,OW1-ArS-3,outfit > women > designer-blouse,,,1,949.25,    ,,,
02/03/2023 10:20:54,MS-1-P1,OM0-MS-1,outfit > men > short-kurta,Short-kurta,,1,1249,,,,
02/05/2023 22:35:05,AS-2-P1,OW1-AS-1,outfit > women > designer-blouse,,,1,1049.964286,,,,
02/14/2023 11:59:39,CaC-2-P1,OM1-CaC-1,outfit > men > kurta,Panjabi,,2,1450.025334,,,,
02/14/2023 12:13:52,CaC-2-P4,OM1-CaC-2,outfit > men > kurta,,,1,1450.022222,,,,
02/14/2023 12:21:29,MS-2-P1,OM0-MS-2,outfit > men > short-kurta,Uttaran ,,1,1250.358876,,,,
02/14/2023 12:35:11,FC-1-P1,OM0-FC-1,outfit > men > short-kurta,Om,,1,1250.222222,,,,
02/14/2023 13:30:32,SC-1-P2,OM2-SC-1,outfit > men > half-shirt,half-shirt,,1,1149.938494,,,,
02/14/2023 13:32:21,SC-1-P3,OM2-SC-2,outfit > men > half-shirt,,,1,1150.050795,,,,
02/22/2023 12:39:32,PrC-8-P1,OM2-PrC-1,outfit > men > half-shirt,half-shirt,,1,800,,,,
03/07/2023 19:56:55,AM-2-P1,OW0-AM-2,outfit > women > saree,,,1,2250.334286,,,,
03/07/2023 21:57:11,ArS-1-P1,OW1-ArS-4,outfit > women > designer-blouse,,,1,749.9642857,,,,
03/07/2023 22:00:46,FR-2-P1,OW1-FR-1,outfit > women > designer-blouse,,,1,949.25,,,,
03/11/2023 18:09:15,PrC-7-P1,OM0-PrC-1,outfit > men > short-kurta,,,1,1049.666667,,,,
04/12/2023 15:38:47,SC-15-P1,OM0-SC-1,outfit > men > short-kurta,,,1,1149.666667,,,,
04/27/2023 01:17:55,PrC-31-P1,OW2-PrC-1,outfit > women > frock,,,1,990,,,,
04/28/2023 00:56:45,R-4-P1,OW0-R-1,outfit > women > saree,Saree,,1,2519.838235,,,,
04/28/2023 00:59:17,R-5-P1,OW1-R-1,outfit > women > designer-blouse,Phoolon-ke-rang-se,,1,840,,,,
04/29/2023 01:55:55,SC-11-P1,OW0-SC-1,outfit > women > saree,Phoolon-ke-rang-se,,1,1950.214286,,,,
05/02/2023 01:36:55,KC-4-P1,OM2-KC-1,outfit > men > half-shirt,Abyakta,,1,1293.5,,,,
05/02/2023 21:44:10,CaC-2-P6,OM0-CaC-1,outfit > men > short-kurta,Mishawr-Rawhoshyo,,1,1250.026667,,,,
12/23/2022 10:59:25,MB-1,OWA-MB-1,outfit > women > accessories,Accessories,,1,240,,,,
05/03/2023 18:16:28,CA-1-P2,OW1-CA-1,outfit > women > designer-blouse,blouse,,1,690.4,,,,
05/04/2023 16:56:45,C-4-P1,OW0-C-4,outfit > women > saree,triangular-park,,1,1650,,,,
05/08/2023 08:56:14,MC-3-P1,OW3-MC-1,outfit > women > crop-top,,,1,650.8541667,,,,
06/18/2023 17:05:50,PrC-16-P1,OM3-PrC-1,outfit > men > full-shirt,,,1,1149.611111,,,,
06/18/2023 17:29:16,PrC-17-P1,OW3-PrC-1,outfit > women > crop-top,,,1,890.4444444,,,,
06/18/2023 17:36:20,PrC-32-P1,OW3-PrC-2,outfit > women > crop-top,,,1,889.8055556,,,,
06/18/2023 17:46:24,PrC-14-P1,OW3-PrC-3,outfit > women > crop-top,,,1,1089.541667,,,,
06/18/2023 18:06:49,PrC-11-P1,OW3-PrC-4,outfit > women > crop-top,,,1,1089.541667,,,,
06/18/2023 18:50:42,SS-2-P1,OW0-SS-1,outfit > women > saree,,,1,2250.3008,,,,
06/18/2023 20:24:35,CC-4-P1,OW0-CC-2,outfit > women > saree,,,1,1049.615385,,,,
06/18/2023 20:30:23,PrC-9-P1,OW1-PrC-1,outfit > women > designer-blouse,,,1,700,,,,
06/21/2023 01:37:32,MoC-2-P2,OW3-MoC-1,outfit > women > crop-top,,,1,689.69208,,,,
04/07/2023 13:59:17,MoC-5-P1,OW0-MoC-1,outfit > women > saree,Saree,,1,2500.071481,,,,
04/07/2023 14:00:12,CA-3-P2,OW1-CA-2,outfit > women > designer-blouse,Designer blouse,,1,900.0857407,,,,
04/07/2023 20:17:00,R-7-P2,OW1-R-2,outfit > women > designer-blouse,Designer blouse,,1,920,,,,
04/07/2023 20:17:38,R-7-P1,OW0-R-2,outfit > women > saree,Saree,,1,2350,,,,
04/07/2023 20:17:38,MB-1,OWA-MB-2,outfit > women > accessories,Accessories,,1,150,,,,
05/07/2023 00:39:27,ArS-12-P1,OW1-ArS-5,outfit > women > designer-blouse,Designer blouse,,1,750,,,,
05/07/2023 00:41:54,AM-3-P1,OW0-AM-3,outfit > women > saree,Basantabas,,1,2250,,,,
05/07/2023 01:11:06,AM-5-P1,OW0-AM-4,outfit > women > saree,Basantabas,,1,2250,,,,
05/07/2023 01:24:01,ArS-18-P1,OW1-ArS-6,outfit > women > designer-blouse,Designer blouse,,1,750.0142963,,,,
05/07/2023 23:49:30,MoC-12-P1,OW0-MoC-2,outfit > women > saree,Saree,,0,1810,,,,
05/07/2023 23:50:32,MoC-10-P1,OW1-MoC-1,outfit > women > designer-blouse,Designer blouse,,0,590,,,,
06/07/2023 01:20:26,KC-4-P3,OM2-KC-2,outfit > men > half-shirt,Half shirt,,0,1150,,,,
12/07/2023 11:43:22,AM-5-P2,OW0-AM-5,outfit > women > saree,Basantabas,,0,2250,,,,
12/07/2023 11:44:55,ArS-18-P2,OW1-ArS-7,outfit > women > designer-blouse,Designer-Blouse,,0,750.2142963,,,,
13/07/2023 20:18:16,AS-5-P1,OW2-AS-1,outfit > women > frock,Camellia,,0,1190.066667,,,,
13/07/2023 20:21:22,MoS-6-P1,OW2-MoS-1,outfit > women > frock,Maple Foliage,,0,1240.062667,,,,
13/07/2023 23:12:44,ArS-15-P1,OW1-ArS-8,outfit > women > designer-blouse,Designer blouse,,0,700.4074074,,,,
24/07/2023 11:05:20,AM-5-P3,OW0-AM-6,outfit > women > saree,Basantabas,,0,2250,,,,
24/07/2023 11:07:14,ArS-18-P3,OW1-ArS-9,outfit > women > designer-blouse,Designer-Blouse,,0,750.2142963,,,,
24/07/2023 11:41:57,PrC-34-P1,OW4-PrC-1,outfit > women > kurti,,,1,850.4353024,,,,
24/07/2023 12:04:31,PrC-17-P2,OW3-PrC-5,outfit > women > crop-top,,,1,940.1666666,,,,
24/07/2023 12:22:40,PrC-37-P1,OW5-PrC-1,outfit > women > shirt-women,,,1,1150.0625,,,,
24/07/2023 12:33:23,PrC-37-P2,OW3-PrC-6,outfit > women > crop-top,,,1,800.2416667,,,,
24/07/2023 13:06:10,KC-6-P1,OW5-KC-1,outfit > women > shirt-women,,,1,1100.4539,,,,
24/07/2023 13:13:43,KC-6-P2,OM0-KC-1,outfit > men > short-kurta,,,1,1249.6052,,,,
24/07/2023 13:20:41,KC-6-P3,OW4-KC-1,outfit > women > kurti,,,1,1120,,,,
24/07/2023 13:29:27,KC-6-P4,OW3-KC-1,outfit > women > crop-top,,,1,710.3026,,,,
24/07/2023 14:20:07,KC-5-P1,OW3-KC-2,outfit > women > crop-top,,,1,649.8256,,,,
24/07/2023 14:31:46,KC-5-P2,OM0-KC-2,outfit > men > short-kurta,,,1,1000.2384,,,,
24/07/2023 14:36:12,KC-5-P3,OM0-KC-3,outfit > men > short-kurta,,,1,1000.2384,,,,
24/07/2023 14:51:13,CaC-3-P1,OW3-CaC-1,outfit > women > crop-top,,,1,709.8069333,,,,
24/07/2023 14:57:56,MSl-2-P1,OM0-MSl-1,outfit > men > short-kurta,Orange-Lace-Shirt,,0,1000,,,,
24/07/2023 15:21:10,RC-2-P1,OM2-RC-1,outfit > men > half-shirt,,,1,1149.933333,,,,
24/07/2023 15:30:00,MSl-1-P1,OW4-MSl-1,outfit > women > kurti,Bottle-green Kurti,,0,1099.904762,,,,
24/07/2023 15:54:55,KC-6-P5,OM0-KC-4,outfit > men > short-kurta,,,1,1249.52955,,,,
24/07/2023 16:02:27,PrC-33-P1,OW4-PrC-2,outfit > women > kurti,,,1,850.4812838,,,,
24/07/2023 16:11:05,PrC-33-P2,OM2-PrC-2,outfit > men > half-shirt,Collar-Up-Shirt,,0,1050.329412,,,,
24/07/2023 16:48:36,SC-22-P1,OW4-SC-1,outfit > women > kurti,short-kurti-women,,0,950.1189577,,,,
24/07/2023 16:58:54,SC-22-P2,OM0-SC-2,outfit > men > short-kurta,short-kurta-men,,0,1050.468958,,,,
24/07/2023 17:07:01,PrC-18-P1,OM2-PrC-3,outfit > men > half-shirt,,,1,950.452381,,,,
24/07/2023 17:13:38,AS-7-P1,OM0-AS-1,outfit > men > short-kurta,,,1,1049.666667,,,,
24/07/2023 17:34:40,PrC-41-P1,OW4-PrC-3,outfit > women > kurti,,,1,1030.452381,,,,
24/07/2023 17:36:48,PrC-42-P1,OW6-PrC-1,outfit > women > palazzo,,,1,920.4047618,,,,
24/07/2023 18:46:48,PrC-2-P1,OW7-PrC-1,outfit > women > long-skirt,,,1,1410.051515,,,,
24/07/2023 21:25:08,AS-8-P1,OW4-AS-1,outfit > women > kurti,,,1,1199.765805,,,,
24/07/2023 22:11:09,Ti-4-P1,OW0-Ti-1,outfit > women > saree,,,1,2949.844187,,,,
24/07/2023 22:12:48,Ti-6-P1,OW1-Ti-1,outfit > women > designer-blouse,,,1,1100,,,,
24/07/2023 23:15:28,Ba-1-P1,OW3-Ba-1,outfit > women > crop-top,,,1,950.452381,,,,
24/07/2023 23:32:41,PrC-34-P2,OW4-PrC-4,outfit > women > kurti,,,1,1250.344647,,,,
24/07/2023 23:35:37,PrC-34-P3,OW6-PrC-2,outfit > women > palazzo,,,1,800.0415322,,,,
24/07/2023 23:56:07,PrC-49-P2,OW6-PrC-3,outfit > women > palazzo,,,1,800,,,,
24/07/2023 23:57:17,PrC-49-P1,OW4-PrC-5,outfit > women > kurti,,,1,1250,,,,
25/07/2023 00:02:07,PrC-49-P3,OW9-PrC-1,outfit > women > hot-pant,,,1,800,,,,
25/07/2023 00:26:26,CaC-5-P1,OW4-CaC-1,outfit > women > kurti,,,1,880,,,,
25/07/2023 00:34:40,CaC-5-P2,OW4-CaC-2,outfit > women > kurti,,,1,880.38416,,,,
25/07/2023 00:38:02,AS-6-P1,OW4-AS-2,outfit > women > kurti,,,1,1100.416667,,,,
25/07/2023 13:25:05,H-4-P5,OW4-H-1,outfit > women > kurti,,,1,1300,,,,
25/07/2023 13:26:31,H-4-P6,OW10-H-1,outfit > women > sharara,,,1,1500,,,,
25/07/2023 13:27:49,O-1-P1,OW11-O-1,outfit > women > dupatta,,,1,1200,,,,
25/07/2023 15:10:29,AS-10-P1,OM0-AS-2,outfit > men > short-kurta,,,1,1050.047619,,,,
25/07/2023 16:13:19,PrC-50-P1,OW12-PrC-1,outfit > women > shrug,,,1,990,,,,
25/07/2023 16:14:48,PrC-51-P1,OW12-PrC-2,outfit > women > shrug,,,1,990,,,,
25/07/2023 16:17:07,PrC-50-P2,OW9-PrC-2,outfit > women > hot-pant,,,1,760,,,,
25/07/2023 16:17:45,PrC-51-P2,OW9-PrC-3,outfit > women > hot-pant,,,1,760,,,,
25/07/2023 16:23:10,CaC-6-P2,OW4-CaC-3,outfit > women > kurti,,,1,1050.1052,,,,
25/07/2023 16:23:57,CaC-6-P1,OW6-CaC-1,outfit > women > palazzo,,,1,800,,,,
25/07/2023 16:41:19,MoC-3-P2,OM0-MoC-1,outfit > men > short-kurta,,,1,1249.737707,,,,
25/07/2023 16:49:56,BT-1-P3,OW0-BT-1,outfit > women > saree,,,1,1600,,,,
25/07/2023 16:55:16,BT-1-P1,OW0-BT-2,outfit > women > saree,,,1,1400,,,,
25/07/2023 17:13:56,BT-2-P1,OW0-BT-3,outfit > women > saree,Yellow saree,,1,1500,,,,
25/07/2023 17:14:42,BT-2-P2,OW1-BT-1,outfit > women > designer-blouse,Designer-blouse,,1,650,,,,
25/07/2023 17:30:18,BT-3-P1,OW0-BT-4,outfit > women > saree,,,1,1790,,,,
25/07/2023 17:35:34,H-5-P1,OW0-H-1,outfit > women > saree,White Saree,,1,2150.071481,,,,
25/07/2023 17:58:59,ArS-9-P1,OW0-ArS-1,outfit > women > saree,,,1,1199.714286,,,,
25/07/2023 18:01:25,R-2-P1,OW0-R-3,outfit > women > saree,,,1,2400.5,,,,
25/07/2023 18:04:13,ArS-4-P1,OW1-ArS-10,outfit > women > designer-blouse,,,1,720,,,,
25/07/2023 19:15:20,KS-3-P1,OW0-KS-3,outfit > women > saree,,,1,1050,,,,
25/07/2023 19:16:29,KS-3-P2,OW1-KS-1,outfit > women > designer-blouse,,,1,600,,,,
25/07/2023 19:29:29,ArS-8-P1,OW0-ArS-2,outfit > women > saree,,,1,1050.214286,,,,
25/07/2023 19:44:16,G-2-P2,OW1-G-1,outfit > women > designer-blouse,,,1,750,,,,
25/07/2023 19:45:34,Ti-1-P1,OW1-Ti-2,outfit > women > designer-blouse,,,1,1050,,,,
25/07/2023 19:48:21,R-1-P1,OW0-R-4,outfit > women > saree,,,1,2350,,,,
25/07/2023 19:53:10,SS-1-P1,OW0-SS-2,outfit > women > saree,,,1,1589.5,,,,
25/07/2023 20:06:45,CSC-6-P1,OW0-CSC-4,outfit > women > saree,,,1,1350.088235,,,,
25/07/2023 20:17:43,PrC-52-P1,OW1-PrC-2,outfit > women > designer-blouse,,,1,800.1,,,,
25/07/2023 20:29:38,Ti-2-P1,OW1-Ti-3,outfit > women > designer-blouse,,,1,1050,,,,
25/07/2023 20:36:08,CSC-4-P1,OW0-CSC-5,outfit > women > saree,,,1,1590.088236,,,,
25/07/2023 20:42:16,ArS-17-P1,OW1-ArS-11,outfit > women > designer-blouse,,,1,750.4208,,,,
25/07/2023 20:43:05,FS-1-P1,OW0-FS-1,outfit > women > saree,,,1,2350,,,,
25/07/2023 21:29:44,SC-7-P1,OW0-SC-2,outfit > women > saree,,,1,1700.464286,,,,
25/07/2023 21:59:25,MoS-1-P1,OW0-MoS-1,outfit > women > saree,,,1,1930.214286,,,,
25/07/2023 22:09:03,CSC-9-P1,OW1-CSC-3,outfit > women > designer-blouse,,,1,750,,,,
25/07/2023 22:11:30,CSC-10-P1,OW0-CSC-6,outfit > women > saree,,,1,2250,,,,
25/07/2023 22:22:35,MoS-2-P1,OW0-MoS-2,outfit > women > saree,,,1,1930.214286,,,,
25/07/2023 22:29:35,MoS-3-P1,OW1-MoS-1,outfit > women > designer-blouse,,,1,769.9642857,,,,
25/07/2023 22:57:23,MoS-4-P1,OW1-MoS-2,outfit > women > designer-blouse,,,1,769.9642857,,,,
26/07/2023 00:00:16,MoC-2-P1,OW0-MoC-3,outfit > women > saree,,,1,2650,,,,
26/07/2023 00:12:27,MC-7-P1,OW0-MC-2,outfit > women > saree,,,1,2150,,,,
26/07/2023 00:14:45,MC-6-P2,OW1-MC-3,outfit > women > designer-blouse,,,1,840.0235294,,,,
26/07/2023 00:37:07,Ti-3-P1,OW0-Ti-2,outfit > women > saree,Silver Line (saree),,0,2950.2958,,,,
26/07/2023 00:38:09,Ti-5-P1,OW1-Ti-4,outfit > women > designer-blouse,Designer Blouse,,0,1100.154762,,,,
26/07/2023 00:50:58,BT-1-P2,OW0-BT-5,outfit > women > saree,,,1,1389.5,,,,
29/07/2023 11:00:59,SC-17-P1,OW4-SC-2,outfit > women > kurti,,,1,1050.333333,,,,
29/07/2023 11:39:16,PrC-36-P4,OW4-PrC-6,outfit > women > kurti,,,1,950.4625001,,,,
29/07/2023 11:45:30,ArS-10-P1,OW0-ArS-3,outfit > women > saree,,,1,1100.214286,,,,
01/08/2023,G-1-P1,OW1-G-2,outfit > women > designer-blouse,,,1,779.9642857,,,,
29/07/2023 12:01:29,PrC-35-P1,OM3-PrC-2,outfit > men > full-shirt,,,1,1149.641481,,,,
29/07/2023 12:03:59,PrC-58-P1,OW4-PrC-7,outfit > women > kurti,,,1,943,,,,
29/07/2023 12:20:18,PrC-2-P2,OW12-PrC-3,outfit > women > shrug,,,1,1050.181818,,,,
29/07/2023 12:29:51,SC-14-P1,OW0-SC-3,outfit > women > saree,,,1,1850.214286,,,,
29/07/2023 12:36:31,CSC-12-P1,OW0-CSC-7,outfit > women > saree,"Crimson Elegance, the saree",,0,1250.4208,,,,
29/07/2023 12:41:17,PrC-59-P1,OW12-PrC-4,outfit > women > shrug,,,1,1050,,,,
06/08/2023 13:41:29,CaC-2-P2,OW2-CaC-1,outfit > women > frock,,,1,1240.024889,,,,
06/08/2023 13:52:13,AS-1-P2,OW4-AS-3,outfit > women > kurti,,,1,750,,,,
06/08/2023 14:03:09,AS-4-P1,OW3-AS-1,outfit > women > crop-top,,,1,440.1666667,,,,
06/08/2023 14:03:16,AS-3-P1,OW3-AS-2,outfit > women > crop-top,,,1,440.1666667,,,,
06/08/2023 17:42:49,PrC-18-P2,OW13-PrC-1,outfit > women > waist-coat,,,1,749.968254,,,,
06/08/2023 17:55:18,MoC-2-P3,OW4-MoC-1,outfit > women > kurti,,,1,849.5317667,,,,
06/08/2023 18:18:11,PrC-57-P1,OM0-PrC-2,outfit > men > short-kurta,,,1,890.25,,,,
06/08/2023 18:18:17,AS-5-P2,OW1-AS-2,outfit > women > designer-blouse,,,1,599.9166667,,,,
06/08/2023 18:32:46,PrC-13-P1,OW6-PrC-4,outfit > women > palazzo,,,1,849.6527777,,,,
06/08/2023 18:35:49,AS-7-P2,OW1-AS-3,outfit > women > designer-blouse,W-Top,,0,689.7424242,,,,
06/08/2023 18:36:03,AS-7-P3,OW1-AS-4,outfit > women > designer-blouse,,,1,689.7424242,,,,
06/08/2023 18:38:59,PrC-13-P2,OW9-PrC-4,outfit > women > hot-pant,,,1,649.5277777,,,,
06/08/2023 19:11:26,MoS-6-P2,OW1-MoS-3,outfit > women > designer-blouse,,,1,600.0598974,,,,
06/08/2023 19:38:11,PrC-56-P1,OM2-PrC-4,outfit > men > half-shirt,,,1,990.2142857,,,,
06/08/2023 22:26:31,CaC-10-P1,OM2-CaC-1,outfit > men > half-shirt,,,1,889.6666667,,,,
06/08/2023 23:13:53,PrC-26-P1,OW4-PrC-8,outfit > women > kurti,,,1,846.7906667,,,,
06/08/2023 23:15:05,PrC-28-P1,OW11-PrC-1,outfit > women > dupatta,,,1,499.7906667,,,,
06/08/2023 23:16:01,PrC-27-P1,OW6-PrC-5,outfit > women > palazzo,,,1,599.7906667,,,,
06/08/2023 23:52:38,PrC-20-P1,OW4-PrC-9,outfit > women > kurti,,,1,846.7113016,,,,
06/08/2023 23:53:21,PrC-22-P1,OW11-PrC-2,outfit > women > dupatta,,,1,499.7113016,,,,
06/08/2023 23:53:43,PrC-21-P1,OW6-PrC-6,outfit > women > palazzo,,,1,599.7113016,,,,
09/08/2023 00:03:27,MoS-5-P1,OW4-MoS-1,outfit > women > kurti,,,1,889.872,,,,
09/08/2023 00:24:09,PrC-46-P1,OW13-PrC-2,outfit > women > waist-coat,,,1,750.308768,,,,
09/08/2023 02:12:18,KC-4-P4,OW14-KC-1,outfit > women > collar,,,2,299.21,,,,
09/08/2023 02:15:56,KC-7-P2,OW8-KC-1,outfit > women > wrap-top,,,1,649.8552,,,,
09/08/2023 02:20:56,KC-7-P3,OW3-KC-3,outfit > women > crop-top,,,1,649.8552,,,,
09/08/2023 21:42:25,PrC-55-P1,OM2-PrC-5,outfit > men > half-shirt,,,1,1049.6,,,,
09/08/2023 21:56:09,CaC-11-P1,OM2-CaC-2,outfit > men > half-shirt,,,1,1050.1,,,,
09/08/2023 22:06:30,PrC-6-P2,OW12-PrC-5,outfit > women > shrug,,,1,849.7499999,,,,
09/08/2023 23:54:23,StC-1-P1,OW5-StC-1,outfit > women > shirt-women,,,1,950.2272728,,,,
10/08/2023 00:03:01,PrC-45-P1,OW5-PrC-2,outfit > women > shirt-women,,,1,899.5197044,,,,
10/08/2023 00:14:56,PrC-41-P3,OM3-PrC-3,outfit > men > full-shirt,,,1,1049.745238,,,,
10/08/2023 00:24:02,PrC-12-P1,OW5-PrC-3,outfit > women > shirt-women,,,1,1149.541667,,,,
10/08/2023 00:53:31,CaC-9-P2,OM0-CaC-2,outfit > men > short-kurta,,,1,949.5,,,,
10/08/2023 00:59:10,PrC-57-P2,OM0-PrC-3,outfit > men > short-kurta,,,1,949.75,,,,
10/08/2023 01:04:38,PrC-41-P2,OM0-PrC-4,outfit > men > short-kurta,,,1,950.0738095,,,,
10/08/2023 01:14:30,PrC-6-P1,OW5-PrC-4,outfit > women > shirt-women,,,1,949.625,,,,
10/08/2023 01:36:54,AS-10-P2,OM0-AS-3,outfit > men > short-kurta,,,1,950.0702381,,,,
10/08/2023 01:57:31,PrC-19-P2,OW9-PrC-5,outfit > women > hot-pant,,,1,550,,,,
10/08/2023 02:00:56,PrC-19-P3,OW3-PrC-7,outfit > women > crop-top,,,1,449.787037,,,,
10/08/2023 20:44:17,AF-1-P1,OW4-AF-1,outfit > women > kurti,,,1,1150.453333,,,,
10/08/2023 20:45:39,PrC-39-P1,OW4-PrC-10,outfit > women > kurti,,,1,1149.604167,,,,
10/08/2023 21:11:58,AS-8-P2,OW4-AS-4,outfit > women > kurti,,,1,1149.541667,,,,
10/08/2023 21:13:03,CaC-6-P3,OW6-CaC-2,outfit > women > palazzo,,,1,650.1052,,,,
10/08/2023 23:28:13,PrC-60-P1,OW4-PrC-11,outfit > women > kurti,,,1,860,,,,
10/08/2023 23:28:49,PrC-60-P2,OW15-PrC-1,outfit > women > top,,,1,860,,,,
10/08/2023 23:53:56,PrC-15-P1,OW4-PrC-12,outfit > women > kurti,,,1,1249.837607,,,,
11/08/2023 00:07:47,PrC-11-P2,OW4-PrC-13,outfit > women > kurti,,,1,1249.694444,,,,
11/08/2023 00:25:02,AS-12-P1,OW4-AS-5,outfit > women > kurti,,,1,750.2916666,,,,
11/08/2023 00:25:21,AS-12-P2,OW4-AS-6,outfit > women > kurti,,,1,850,,,,
11/08/2023 00:29:04,AS-11-P3,OW6-AS-1,outfit > women > palazzo,,,1,749.6666666,,,,
11/08/2023 13:29:13,PrC-33-P7,OW1-PrC-3,outfit > women > designer-blouse,maroon-blouse,,0,649.9875225,,,,
11/08/2023 13:35:54,CC-2-P1,OW0-CC-3,outfit > women > saree,maroon-saree,,0,1296.6,,,,
11/08/2023 13:42:52,CC-1-P1,OW0-CC-4,outfit > women > saree,,,1,1297,,,,
11/08/2023 14:50:04,SC-6-P1,OW0-SC-4,outfit > women > saree,,,1,1770.014286,,,,
11/08/2023 14:50:49,KK-2-P1,OW1-KK-1,outfit > women > designer-blouse,,,1,749.6904938,,,,
11/08/2023 14:52:02,KK-2-P3,OW1-KK-2,outfit > women > designer-blouse,,,1,649.6904938,,,,
11/08/2023 15:14:55,SC-4-P1,OW0-SC-5,outfit > women > saree,,,1,1769.714286,,,,
11/08/2023 15:19:46,KK-1-P2,OW1-KK-3,outfit > women > designer-blouse,,,1,749.5357407,,,,
11/08/2023 15:38:48,PrC-33-P8,OW15-PrC-2,outfit > women > top,,,2,550,,,,
11/08/2023 16:02:58,SC-10-P1,OW0-SC-6,outfit > women > saree,,,1,1769.564286,,,,
11/08/2023 16:04:02,PrC-15-P2,OW1-PrC-4,outfit > women > designer-blouse,,,1,750.2735043,,,,
